Time(s),X,Y,Z,Pitch,Yaw,FL,FR,RL,RR,Vx,Vy,Vz,Speed
0.1,0.5498074921986897,1.395604428741249,50.5,-0.18,1.2,2160,2160,2160,2160,5.5,13.96,5.0,15.0
0.2,1.0996149843973795,2.791208857482498,51.0,-0.18,1.2,2220,2220,2220,2220,5.5,13.96,5.0,15.0
0.3,1.6494224765960692,4.186813286223747,51.5,-0.18,1.2,2280,2280,2280,2280,5.5,13.96,5.0,15.0
0.4,2.199229968794759,5.582417714964996,52.0,-0.18,1.2,2340,2340,2340,2340,5.5,13.96,5.0,15.0
0.5,2.7490374609934487,6.978022143706245,52.5,-0.18,1.2,2400,2400,2400,2400,5.5,13.96,5.0,15.0
0.6,3.2988449531921384,8.373626572447494,53.0,-0.18,1.2,2460,2460,2460,2460,5.5,13.96,5.0,15.0
0.7,3.848652445390828,9.769231001188743,53.5,-0.18,1.2,2520,2520,2520,2520,5.5,13.96,5.0,15.0
0.8,4.398459937589518,11.164835429929992,54.0,-0.18,1.2,2580,2580,2580,2580,5.5,13.96,5.0,15.0
0.9,4.948267429788208,12.560439858671241,54.5,-0.18,1.2,2640,2640,2640,2640,5.5,13.96,5.0,15.0
1.0,5.498074921986898,13.95604428741249,55.0,-0.18,1.2,2700,2700,2700,2700,5.5,13.96,5.0,15.0
1.1,6.0478824141855885,15.35164871615374,55.5,-0.17,1.2,2760,2760,2760,2760,5.5,13.96,5.0,15.0
1.2,6.597689906384279,16.747253144894987,56.0,-0.17,1.2,2820,2820,2820,2820,5.5,13.96,5.0,15.0
1.3,7.147497398582969,18.142857573636235,56.5,-0.17,1.2,2880,2880,2880,2880,5.5,13.96,5.0,15.0
1.4,7.697304890781659,19.538462002377482,57.0,-0.17,1.2,2940,2940,2940,2940,5.5,13.96,5.0,15.0
1.5,8.24711238298035,20.93406643111873,57.5,-0.17,1.2,3000,3000,3000,3000,5.5,13.96,5.0,15.0
1.6,8.79691987517904,22.329670859859977,58.0,-0.17,1.2,3060,3060,3060,3060,5.5,13.96,5.0,15.0
1.7,9.34672736737773,23.725275288601225,58.5,-0.17,1.2,3120,3120,3120,3120,5.5,13.96,5.0,15.0
1.8,9.89653485957642,25.120879717342472,59.0,-0.17,1.2,3180,3180,3180,3180,5.5,13.96,5.0,15.0
1.9,10.44634235177511,26.51648414608372,59.5,-0.17,1.2,3240,3240,3240,3240,5.5,13.96,5.0,15.0
2.0,10.9961498439738,27.912088574824967,60.0,-0.17,1.2,3300,3300,3300,3300,5.5,13.96,5.0,15.0
2.1,11.54595733617249,29.307693003566214,60.5,-0.17,1.2,3360,3360,3360,3360,5.5,13.96,5.0,15.0
2.2,12.09576482837118,30.703297432307462,61.0,-0.17,1.2,3420,3420,3420,3420,5.5,13.96,5.0,15.0
2.3,12.64557232056987,32.09890186104871,61.5,-0.17,1.2,3480,3480,3480,3480,5.5,13.96,5.0,15.0
2.4,13.19537981276856,33.49450628978996,62.0,-0.17,1.2,3540,3540,3540,3540,5.5,13.96,5.0,15.0
2.5,13.745187304967251,34.89011071853121,62.5,-0.17,1.2,3600,3600,3600,3600,5.5,13.96,5.0,15.0
2.6,14.294994797165941,36.28571514727246,63.0,-0.17,1.2,3660,3660,3660,3660,5.5,13.96,5.0,15.0
2.7,14.844802289364631,37.68131957601371,63.5,-0.17,1.2,3720,3720,3720,3720,5.5,13.96,5.0,15.0
2.8,15.394609781563322,39.076924004754964,64.0,-0.17,1.2,3780,3780,3780,3780,5.5,13.96,5.0,15.0
2.9,15.944417273762012,40.472528433496215,64.5,-0.17,1.2,3840,3840,3840,3840,5.5,13.96,5.0,15.0
3.0,16.494224765960702,41.868132862237466,65.0,-0.17,1.2,3900,3900,3900,3900,5.5,13.96,5.0,15.0
3.1,17.04403225815939,43.26373729097872,65.5,-0.17,1.2,3960,3960,3960,3960,5.5,13.96,5.0,15.0
3.2,17.59383975035808,44.65934171971997,66.0,-0.17,1.2,4020,4020,4020,4020,5.5,13.96,5.0,15.0
3.3,18.143647242556767,46.05494614846122,66.5,-0.17,1.2,4080,4080,4080,4080,5.5,13.96,5.0,15.0
3.4,18.693454734755456,47.45055057720247,67.0,-0.17,1.2,4140,4140,4140,4140,5.5,13.96,5.0,15.0
3.5,19.243262226954144,48.84615500594372,67.5,-0.17,1.2,4200,4200,4200,4200,5.5,13.96,5.0,15.0
3.6,19.793069719152832,50.24175943468497,68.0,-0.17,1.2,4260,4260,4260,4260,5.5,13.96,5.0,15.0
3.7,20.34287721135152,51.63736386342622,68.5,-0.17,1.2,4320,4320,4320,4320,5.5,13.96,5.0,15.0
3.8,20.89268470355021,53.032968292167475,69.0,-0.17,1.2,4380,4380,4380,4380,5.5,13.96,5.0,15.0
3.9,21.442492195748898,54.428572720908726,69.5,-0.17,1.2,4440,4440,4440,4440,5.5,13.96,5.0,15.0
4.0,21.992299687947586,55.82417714964998,70.0,-0.17,1.2,4500,4500,4500,4500,5.5,13.96,5.0,15.0
4.1,22.542107180146274,57.21978157839123,70.5,-0.17,1.2,4560,4560,4560,4560,5.5,13.96,5.0,15.0
4.2,23.091914672344963,58.61538600713248,71.0,-0.17,1.2,4620,4620,4620,4620,5.5,13.96,5.0,15.0
4.3,23.64172216454365,60.01099043587373,71.5,-0.17,1.2,4680,4680,4680,4680,5.5,13.96,5.0,15.0
4.4,24.19152965674234,61.40659486461498,72.0,-0.17,1.2,4740,4740,4740,4740,5.5,13.96,5.0,15.0
4.5,24.741337148941028,62.80219929335623,72.5,-0.17,1.2,4800,4800,4800,4800,5.5,13.96,5.0,15.0
4.6,25.291144641139716,64.19780372209748,73.0,-0.17,1.2,4860,4860,4860,4860,5.5,13.96,5.0,15.0
4.7,25.840952133338405,65.59340815083873,73.5,-0.17,1.2,4920,4920,4920,4920,5.5,13.96,5.0,15.0
4.8,26.390759625537093,66.98901257957998,74.0,-0.17,1.2,4980,4980,4980,4980,5.5,13.96,5.0,15.0
4.9,26.94056711773578,68.38461700832123,74.5,-0.17,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
5.0,27.49037460993447,69.78022143706248,75.0,-0.17,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
5.1,28.04018210213316,71.17582586580373,75.5,-0.17,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
5.2,28.589989594331847,72.57143029454498,76.0,-0.17,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
5.3,29.139797086530535,73.96703472328623,76.5,-0.16,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
5.4,29.689604578729224,75.36263915202748,77.0,-0.16,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
5.5,30.239412070927912,76.75824358076873,77.5,-0.16,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
5.6,30.7892195631266,78.15384800950999,78.0,-0.16,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
5.7,31.33902705532529,79.54945243825124,78.5,-0.16,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
