Time(s),X,Y,Z,Pitch,Yaw,FL,FR,RL,RR,Vx,Vy,Vz,Hor_Speed
0.1,999.575735931288,999.575735931288,100.0,-0.0,-2.36,2760,2760,2760,2760,-4.24,-4.24,0.0,20
0.2,999.0666190488337,999.0666190488337,100.0,-0.0,-2.36,2820,2820,2820,2820,-5.09,-5.09,0.0,20
0.3,998.4556787898885,998.4556787898885,100.0,-0.0,-2.36,2880,2880,2880,2880,-6.11,-6.11,0.0,20
0.4,997.7225504791542,997.7225504791542,100.0,-0.0,-2.36,2940,2940,2940,2940,-7.33,-7.33,0.0,20
0.5,996.8427965062731,996.8427965062731,100.0,-0.0,-2.36,2912,2912,2912,2912,-8.8,-8.8,0.0,20
0.6,995.7870917388158,995.7870917388158,100.0,-0.0,-2.36,2972,2972,2972,2972,-10.56,-10.56,0.0,20
0.7,994.520246017867,994.520246017867,100.0,-0.0,-2.36,3032,3032,3032,3032,-12.67,-12.67,0.0,20
0.8,993.1060324554938,993.1060324554938,100.0,-0.0,-2.36,3092,3092,3092,3092,-14.14,-14.14,0.0,20
0.9,991.6918188931207,991.6918188931207,100.0,-0.0,-2.36,3032,3032,3032,3032,-14.14,-14.14,0.0,20
1.0,990.2776053307476,990.2776053307476,100.0,-0.0,-2.36,3092,3092,3092,3092,-14.14,-14.14,0.0,20
1.1,988.8633917683745,988.8633917683745,100.0,-0.0,-2.36,3032,3032,3032,3032,-14.14,-14.14,0.0,20
1.2,987.4491782060014,987.4491782060014,100.0,-0.0,-2.36,3092,3092,3092,3092,-14.14,-14.14,0.0,20
1.3,986.0349646436283,986.0349646436283,100.0,-0.0,-2.36,3032,3032,3032,3032,-14.14,-14.14,0.0,20
1.4,984.6207510812552,984.6207510812552,100.0,-0.0,-2.36,3092,3092,3092,3092,-14.14,-14.14,0.0,20
1.5,983.2065375188821,983.2065375188821,100.0,-0.0,-2.36,3032,3032,3032,3032,-14.14,-14.14,0.0,20
1.6,981.792323956509,981.792323956509,100.0,-0.0,-2.36,3092,3092,3092,3092,-14.14,-14.14,0.0,20
