Time(s),X,Y,Z,Pitch,Yaw,FL,FR,RL,RR,Vx,Vy,Vz,Hor_Speed
0.1,0.09442671988691054,0.16567083189739396,100.16178713231419,-0.8,1.05,2160,2160,2160,2160,0.94,1.66,1.62,6.36
0.2,0.194855562556707,0.3418723343060788,100.33229929002253,-0.8,1.05,2220,2220,2220,2220,1.0,1.76,1.71,6.36
0.3,0.3016680458461201,0.5292738768437917,100.51200700540431,-0.8,1.05,2280,2280,2280,2280,1.07,1.87,1.8,6.36
0.4,0.4152699383219989,0.7285873768164413,100.70140618609489,-0.8,1.05,2340,2340,2340,2340,1.14,1.99,1.89,6.36
0.5,0.536092800750292,0.9405700037115903,100.90101948355432,-0.8,1.05,2400,2400,2400,2400,1.21,2.12,2.0,6.36
0.6,0.6645956255466825,1.1660270555998682,101.11139773533634,-0.8,1.05,2460,2460,2460,2460,1.29,2.25,2.1,6.36
0.7,0.8012665804369632,1.4058150183714386,101.33312148513738,-0.8,1.05,2520,2520,2520,2520,1.37,2.4,2.22,6.36
0.8,0.9466248629511217,1.6608448194292138,101.56680258482051,-0.8,1.05,2580,2580,2580,2580,1.45,2.55,2.34,6.36
0.9,1.101222672796149,1.9320852881992316,101.81308588283488,-0.8,1.05,2640,2640,2640,2640,1.55,2.71,2.46,6.36
1.0,1.2656473096003928,2.2205668366042826,102.07265100369014,-0.8,1.05,2700,2700,2700,2700,1.64,2.88,2.6,6.36
1.1,1.4405234039985515,2.527385373482489,102.34621422339605,-0.8,1.05,2760,2760,2760,2760,1.75,3.07,2.74,6.36
1.2,1.626515290532944,2.8537064678212736,102.6345304460429,-0.8,1.05,2820,2820,2820,2820,1.86,3.26,2.88,6.36
1.3,1.8243295313854468,3.2007697766223715,102.938395286977,-0.81,1.05,2880,2880,2880,2880,1.98,3.47,3.04,6.36
1.4,2.0347176005274643,3.569893754218845,103.2586472683197,-0.81,1.05,2940,2940,2940,2940,2.1,3.69,3.2,6.36
1.5,2.2584787384847176,3.9624806609342658,103.59617013288887,-0.81,1.05,3000,3000,3000,3000,2.24,3.93,3.38,6.36
1.6,2.496462988561784,4.3800218901113945,103.95189528290774,-0.81,1.05,3060,3060,3060,3060,2.38,4.18,3.56,6.36
1.7,2.7495744260606556,4.824103633747139,104.32680435023114,-0.81,1.05,3120,3120,3120,3120,2.53,4.44,3.75,6.36
1.8,3.018774592760758,5.296412908256899,104.72193190518149,-0.81,1.05,3180,3180,3180,3180,2.69,4.72,3.95,6.36
1.9,3.30508614970763,5.798743963259495,105.13836831146975,-0.81,1.05,3240,3240,3240,3240,2.86,5.02,4.16,6.36
2.0,3.6095967621867975,6.3330050977289325,105.57726273507954,-0.81,1.05,3300,3300,3300,3300,3.05,5.34,4.39,6.36
2.1,3.924352495143166,6.885241204053579,106.0398263154175,-0.81,1.05,3360,3360,3360,3360,3.15,5.52,4.63,6.36
2.2,4.239108228099535,7.437477310378226,106.52733550748074,-0.81,1.05,3420,3420,3420,3420,3.15,5.52,4.88,6.36
2.3,4.553863961055903,7.989713416702872,107.04113560426423,-0.81,1.05,3480,3480,3480,3480,3.15,5.52,5.14,6.36
2.4,4.8686196940122715,8.541949523027519,107.58042604531153,-0.81,1.05,3540,3540,3540,3540,3.15,5.52,5.39,6.36
2.5,5.18337542696864,9.094185629352165,108.11971648635883,-0.81,1.05,3600,3600,3600,3600,3.15,5.52,5.39,6.36
2.6,5.498131159925008,9.64642173567681,108.65900692740612,-0.81,1.05,3660,3660,3660,3660,3.15,5.52,5.39,6.36
2.7,5.812886892881377,10.198657842001456,109.19829736845342,-0.81,1.05,3720,3720,3720,3720,3.15,5.52,5.39,6.36
2.8,6.127642625837745,10.750893948326102,109.73758780950072,-0.81,1.05,3780,3780,3780,3780,3.15,5.52,5.39,6.36
2.9,6.442398358794113,11.303130054650747,110.27687825054802,-0.81,1.05,3840,3840,3840,3840,3.15,5.52,5.39,6.36
3.0,6.757154091750482,11.855366160975393,110.81616869159532,-0.81,1.05,3900,3900,3900,3900,3.15,5.52,5.39,6.36
3.1,7.07190982470685,12.407602267300039,111.35545913264262,-0.81,1.05,3960,3960,3960,3960,3.15,5.52,5.39,6.36
3.2,7.3866655576632185,12.959838373624684,111.89474957368992,-0.81,1.05,4020,4020,4020,4020,3.15,5.52,5.39,6.36
3.3,7.701421290619587,13.51207447994933,112.43404001473722,-0.81,1.05,4080,4080,4080,4080,3.15,5.52,5.39,6.36
3.4,8.016177023575956,14.064310586273976,112.97333045578452,-0.81,1.05,4140,4140,4140,4140,3.15,5.52,5.39,6.36
3.5,8.330932756532324,14.616546692598622,113.51262089683182,-0.81,1.05,4200,4200,4200,4200,3.15,5.52,5.39,6.36
3.6,8.645688489488691,15.168782798923267,114.05191133787912,-0.81,1.05,4260,4260,4260,4260,3.15,5.52,5.39,6.36
3.7,8.960444222445059,15.721018905247913,114.59120177892642,-0.81,1.05,4320,4320,4320,4320,3.15,5.52,5.39,6.36
3.8,9.275199955401426,16.27325501157256,115.13049221997372,-0.81,1.05,4380,4380,4380,4380,3.15,5.52,5.39,6.36
3.9,9.589955688357794,16.825491117897204,115.66978266102102,-0.81,1.05,4331,4331,4331,4331,3.15,5.52,5.39,6.36
4.0,9.904711421314163,17.37772722422185,116.20907310206832,-0.81,1.05,4391,4391,4391,4391,3.15,5.52,5.39,6.36
4.1,10.219467154270532,17.929963330546496,116.74836354311562,-0.81,1.05,4331,4331,4331,4331,3.15,5.52,5.39,6.36
4.2,10.534222887226901,18.48219943687114,117.28765398416292,-0.81,1.05,4391,4391,4391,4391,3.15,5.52,5.39,6.36
4.3,10.84897862018327,19.034435543195787,117.82694442521021,-0.81,1.05,4331,4331,4331,4331,3.15,5.52,5.39,6.36
4.4,11.16373435313964,19.586671649520433,118.36623486625751,-0.81,1.05,4391,4391,4391,4391,3.15,5.52,5.39,6.36
4.5,11.47849008609601,20.13890775584508,118.90552530730481,-0.81,1.05,4331,4331,4331,4331,3.15,5.52,5.39,6.36
4.6,11.793245819052377,20.691143862169724,119.44481574835211,-0.81,1.05,4391,4391,4391,4391,3.15,5.52,5.39,6.36
4.7,12.108001552008744,21.24337996849437,119.98410618939941,-0.81,1.05,4331,4331,4331,4331,3.15,5.52,5.39,6.36
4.8,12.422757284965112,21.795616074819016,120.52339663044671,-0.81,1.05,4391,4391,4391,4391,3.15,5.52,5.39,6.36
4.9,12.73751301792148,22.34785218114366,121.06268707149401,-0.81,1.05,4331,4331,4331,4331,3.15,5.52,5.39,6.36
5.0,13.052268750877847,22.900088287468307,121.60197751254131,-0.81,1.05,4391,4391,4391,4391,3.15,5.52,5.39,6.36
5.1,13.367024483834214,23.452324393792953,122.14126795358861,-0.81,1.05,4331,4331,4331,4331,3.15,5.52,5.39,6.36
5.2,13.681780216790584,24.0045605001176,122.68055839463591,-0.81,1.05,4391,4391,4391,4391,3.15,5.52,5.39,6.36
5.3,13.996535949746953,24.556796606442244,123.21984883568321,-0.81,1.05,4331,4331,4331,4331,3.15,5.52,5.39,6.36
5.4,14.31129168270332,25.10903271276689,123.75913927673051,-0.81,1.05,4391,4391,4391,4391,3.15,5.52,5.39,6.36
5.5,14.626047415659688,25.661268819091536,124.29842971777781,-0.81,1.05,4331,4331,4331,4331,3.15,5.52,5.39,6.36
5.6,14.940803148616057,26.21350492541618,124.8377201588251,-0.81,1.05,4391,4391,4391,4391,3.15,5.52,5.39,6.36
5.7,15.255558881572426,26.765741031740827,125.3770105998724,-0.81,1.05,4331,4331,4331,4331,3.15,5.52,5.39,6.36
5.8,15.570314614528796,27.317977138065473,125.9163010409197,-0.81,1.05,4391,4391,4391,4391,3.15,5.52,5.39,6.36
5.9,15.885070347485165,27.87021324439012,126.455591481967,-0.81,1.05,4331,4331,4331,4331,3.15,5.52,5.39,6.36
6.0,16.199826080441532,28.422449350714764,126.9948819230143,-0.81,1.05,4391,4391,4391,4391,3.15,5.52,5.39,6.36
6.1,16.5145818133979,28.97468545703941,127.5341723640616,-0.81,1.05,4331,4331,4331,4331,3.15,5.52,5.39,6.36
