Time(s),X,Y,Z,Pitch,Yaw,FL,FR,RL,RR,Vx,Vy,Vz,Hor_Speed
0.1,0.48891696588269773,999.7085302703391,100.23794940794825,-0.33,-0.54,2160,2160,2160,2160,4.889169658826977,-2.91469729660839,2.3794940794824555,18.97
0.2,1.0705986024243752,999.3617585254777,100.4947721228108,-0.33,-0.54,2220,2220,2220,2220,5.816816365416774,-3.467717448613845,2.568227148625527,18.97
0.3,1.7626456163358948,998.9491920364151,100.77196510865642,-0.33,-0.54,2280,2280,2280,2280,6.920470139115194,-4.125664890626365,2.7719298584562106,18.97
0.4,2.585998184780847,998.4583472359959,101.07114406345849,-0.33,-0.54,2340,2340,2340,2340,8.233525684449523,-4.908448004191058,2.99178954802078,18.97
0.5,3.565569569871128,997.8743719871921,101.39405283664914,-0.33,-0.54,2400,2400,2400,2400,9.795713850902809,-5.839752488038209,3.229087731906541,18.97
0.6,4.7309999520219765,997.1795961824483,101.74257359364046,-0.33,-0.54,2460,2460,2460,2460,11.654303821508488,-6.947758047437749,3.4852075699132374,18.97
0.7,6.117553291894295,996.352997075986,102.1187377865597,-0.33,-0.54,2520,2520,2520,2520,13.86553339872319,-8.265991064623437,3.7616419291924337,18.97
0.8,7.747276511503288,995.3814313104498,102.52473799514443,-0.33,-0.54,2580,2580,2580,2580,16.297232196089926,-9.715657655361293,4.060002085847316,18.97
0.9,9.376999731112281,994.4098655449136,102.9629407068157,-0.34,-0.54,2640,2640,2640,2640,16.297232196089926,-9.71565765536129,4.382027116712651,18.97
1.0,11.006722950721274,993.4382997793774,103.43590011042146,-0.34,-0.54,2700,2700,2700,2700,16.297232196089926,-9.715657655361287,4.7295940360576285,18.97
1.1,12.636446170330267,992.4667340138412,103.94637298405107,-0.34,-0.54,2760,2760,2760,2760,16.29723219608993,-9.715657655361287,5.104728736296113,18.97
1.2,14.26616938993926,991.495168248305,104.49733476369862,-0.34,-0.54,2820,2820,2820,2820,16.29723219608993,-9.715657655361282,5.509617796475463,18.97
1.3,15.895892609548252,990.5236024827689,105.09199688643591,-0.34,-0.54,2880,2880,2880,2880,16.29723219608993,-9.715657655361278,5.946621227372951,18.97
1.4,17.525615829157246,989.5520367172327,105.73382550918473,-0.34,-0.54,2940,2940,2940,2940,16.297232196089936,-9.715657655361278,6.4182862274882355,18.97
1.5,19.15533904876624,988.5804709516965,106.42656171219599,-0.34,-0.54,3000,3000,3000,3000,16.297232196089936,-9.715657655361273,6.927362030112631,18.97
