Time(s),X,Y,Z,Pitch,Yaw,FL,FR,RL,RR,Vx,Vy,Vz,Hor_Speed
0.1,0.14234969136070813,0.4419353163159239,100.24,-0.48,1.26,2160,2160,2160,2160,1.42,4.42,2.4,15.48
0.2,0.3067301537275714,0.9522668171280813,100.49919999999999,-0.48,1.26,2220,2220,2220,2220,1.64,5.1,2.59,15.48
0.3,0.49655098262894104,1.5415798480310263,100.77913599999998,-0.48,1.26,2280,2280,2280,2280,1.9,5.89,2.8,15.48
0.4,0.7157494601486549,2.222097997193537,101.08146687999998,-0.48,1.26,2340,2340,2340,2340,2.19,6.81,3.02,15.48
0.5,0.9688722224137281,3.0079366382125547,101.40798423039998,-0.48,1.26,2400,2400,2400,2400,2.53,7.86,3.27,15.48
0.6,1.2611695663628366,3.9153957125643624,101.76062296883197,-0.48,1.26,2460,2460,2460,2460,2.92,9.07,3.53,15.48
0.7,1.5987043519157536,4.9632978245750525,102.14147280633853,-0.48,1.26,2520,2520,2520,2520,3.38,10.48,3.81,15.48
0.8,1.9884777584031206,6.173378661709036,102.5527906308456,-0.48,1.26,2580,2580,2580,2580,3.9,12.1,4.11,15.48
0.9,2.438574503708646,7.570737838311157,102.99701388131325,-0.48,1.26,2640,2640,2640,2640,4.5,13.97,4.44,15.48
1.0,2.9130734749110063,9.043855559364236,103.47677499181832,-0.48,1.26,2700,2700,2700,2700,4.74,14.73,4.8,15.48
1.1,3.3875724461133667,10.516973280417314,103.99491699116378,-0.48,1.26,2760,2760,2760,2760,4.74,14.73,5.18,15.48
1.2,3.862071417315727,11.990091001470393,104.55451035045688,-0.48,1.26,2820,2820,2820,2820,4.74,14.73,5.6,15.48
1.3,4.336570388518087,13.463208722523472,105.15887117849343,-0.48,1.26,2880,2880,2880,2880,4.74,14.73,6.04,15.48
1.4,4.811069359720447,14.93632644357655,105.81158087277291,-0.48,1.26,2940,2940,2940,2940,4.74,14.73,6.53,15.48
1.5,5.285568330922807,16.40944416462963,106.51650734259474,-0.48,1.26,3000,3000,3000,3000,4.74,14.73,7.05,15.48
1.6,5.760067302125167,17.88256188568271,107.27782793000232,-0.48,1.26,3060,3060,3060,3060,4.74,14.73,7.61,15.48
1.7,6.234566273327527,19.355679606735787,108.07782793000231,-0.48,1.26,3120,3120,3120,3120,4.74,14.73,8.0,15.48
1.8,6.709065244529887,20.828797327788866,108.87782793000231,-0.48,1.26,3180,3180,3180,3180,4.74,14.73,8.0,15.48
1.9,7.183564215732247,22.301915048841945,109.67782793000231,-0.48,1.26,3240,3240,3240,3240,4.74,14.73,8.0,15.48
2.0,7.658063186934607,23.775032769895024,110.4778279300023,-0.48,1.26,3300,3300,3300,3300,4.74,14.73,8.0,15.48
2.1,8.132562158136967,25.248150490948102,111.2778279300023,-0.48,1.26,3360,3360,3360,3360,4.74,14.73,8.0,15.48
2.2,8.607061129339327,26.72126821200118,112.0778279300023,-0.48,1.26,3420,3420,3420,3420,4.74,14.73,8.0,15.48
2.3,9.081560100541687,28.19438593305426,112.8778279300023,-0.48,1.26,3480,3480,3480,3480,4.74,14.73,8.0,15.48
2.4,9.556059071744047,29.66750365410734,113.6778279300023,-0.48,1.26,3540,3540,3540,3540,4.74,14.73,8.0,15.48
2.5,10.030558042946407,31.140621375160418,114.47782793000229,-0.48,1.26,3600,3600,3600,3600,4.74,14.73,8.0,15.48
2.6,10.505057014148766,32.6137390962135,115.27782793000229,-0.48,1.26,3660,3660,3660,3660,4.74,14.73,8.0,15.48
2.7,10.979555985351126,34.08685681726658,116.07782793000229,-0.48,1.26,3720,3720,3720,3720,4.74,14.73,8.0,15.48
2.8,11.454054956553486,35.55997453831966,116.87782793000228,-0.48,1.26,3780,3780,3780,3780,4.74,14.73,8.0,15.48
2.9,11.928553927755846,37.03309225937274,117.67782793000228,-0.48,1.26,3840,3840,3840,3840,4.74,14.73,8.0,15.48
3.0,12.403052898958206,38.506209980425815,118.47782793000228,-0.48,1.26,3900,3900,3900,3900,4.74,14.73,8.0,15.48
3.1,12.877551870160566,39.979327701478894,119.27782793000227,-0.48,1.26,3960,3960,3960,3960,4.74,14.73,8.0,15.48
3.2,13.352050841362926,41.45244542253197,120.07782793000227,-0.48,1.26,4020,4020,4020,4020,4.74,14.73,8.0,15.48
3.3,13.826549812565286,42.92556314358505,120.87782793000227,-0.48,1.26,4080,4080,4080,4080,4.74,14.73,8.0,15.48
3.4,14.301048783767646,44.39868086463813,121.67782793000227,-0.48,1.26,4140,4140,4140,4140,4.74,14.73,8.0,15.48
3.5,14.775547754970006,45.87179858569121,122.47782793000226,-0.48,1.26,4200,4200,4200,4200,4.74,14.73,8.0,15.48
3.6,15.250046726172366,47.34491630674429,123.27782793000226,-0.48,1.26,4260,4260,4260,4260,4.74,14.73,8.0,15.48
3.7,15.724545697374726,48.81803402779737,124.07782793000226,-0.48,1.26,4320,4320,4320,4320,4.74,14.73,8.0,15.48
3.8,16.199044668577088,50.291151748850446,124.87782793000225,-0.48,1.26,4380,4380,4380,4380,4.74,14.73,8.0,15.48
3.9,16.67354363977945,51.764269469903525,125.67782793000225,-0.48,1.26,4440,4440,4440,4440,4.74,14.73,8.0,15.48
4.0,17.14804261098181,53.2373871909566,126.47782793000225,-0.48,1.26,4500,4500,4500,4500,4.74,14.73,8.0,15.48
4.1,17.622541582184173,54.71050491200968,127.27782793000225,-0.48,1.26,4560,4560,4560,4560,4.74,14.73,8.0,15.48
