Time(s),X,Y,Z,Pitch,Yaw,FL,FR,RL,RR,Vx,Vy,Vz,Hor_Speed
0.1,0.2810571381507071,0.2810571381507071,100.24,-1.28,0.79,2160,2160,2160,2160,2.81,2.81,2.4,17.3
0.2,0.5883366558208306,0.5883366558208306,100.49919999999999,-1.29,0.79,2220,2220,2220,2220,3.07,3.07,2.59,17.3
0.3,0.9213357620019007,0.9213357620019007,100.77913599999998,-1.3,0.79,2280,2280,2280,2280,3.33,3.33,2.8,17.3
0.4,1.278728856662719,1.278728856662719,101.08146687999998,-1.31,0.79,2340,2340,2340,2340,3.57,3.57,3.02,17.3
0.5,1.6582775806140244,1.6582775806140244,101.40798423039998,-1.33,0.79,2400,2400,2400,2400,3.8,3.8,3.27,17.3
0.6,2.0567922868753885,2.0567922868753885,101.76062296883197,-1.34,0.79,2460,2460,2460,2460,3.99,3.99,3.53,17.3
0.7,2.4701622100962233,2.4701622100962233,102.14147280633853,-1.36,0.79,2520,2520,2520,2520,4.13,4.13,3.81,17.3
0.8,2.893465964109855,2.893465964109855,102.5527906308456,-1.38,0.79,2580,2580,2580,2580,4.23,4.23,4.11,17.3
0.9,3.3211643731081795,3.3211643731081795,102.99701388131325,-1.4,0.79,2640,2640,2640,2640,4.28,4.28,4.44,17.3
1.0,3.747365200614899,3.747365200614899,103.47677499181832,-1.42,0.79,2700,2700,2700,2700,4.26,4.26,4.8,17.3
1.1,4.166136477320047,4.166136477320047,103.99491699116378,-1.44,0.79,2760,2760,2760,2760,4.19,4.19,5.18,17.3
1.2,4.571834989008256,4.571834989008256,104.55451035045688,-1.46,0.79,2820,2820,2820,2820,4.06,4.06,5.6,17.3
1.3,4.959412004437121,4.959412004437121,105.15887117849343,-1.48,0.79,2880,2880,2880,2880,3.88,3.88,6.04,17.3
1.4,5.324162591490522,5.324162591490522,105.81158087277291,-1.51,0.79,2940,2940,2940,2940,3.65,3.65,6.53,17.3
1.5,5.646836376661448,5.646836376661448,106.51650734259474,-1.53,0.79,3000,3000,3000,3000,3.23,3.23,7.05,17.3
1.6,5.93228724454803,5.93228724454803,107.27782793000232,-1.55,0.79,3060,3060,3060,3060,2.85,2.85,7.61,17.3
1.7,6.0,6.0,108.07782793000231,-1.57,0.79,3120,3120,3120,3120,2.53,2.53,8.0,17.3
1.8,6.0,6.0,108.87782793000231,-1.57,0.0,3180,3180,3180,3180,0.0,0.0,8.0,17.3
1.9,6.0,6.0,109.67782793000231,-1.57,0.0,3240,3240,3240,3240,0.0,0.0,8.0,17.3
2.0,6.0,6.0,110.4778279300023,-1.57,0.0,3300,3300,3300,3300,0.0,0.0,8.0,17.3
2.1,6.0,6.0,111.2778279300023,-1.57,0.0,3360,3360,3360,3360,0.0,0.0,8.0,17.3
2.2,6.0,6.0,112.0778279300023,-1.57,0.0,3420,3420,3420,3420,0.0,0.0,8.0,17.3
2.3,6.0,6.0,112.8778279300023,-1.57,0.0,3480,3480,3480,3480,0.0,0.0,8.0,17.3
2.4,6.0,6.0,113.6778279300023,-1.57,0.0,3540,3540,3540,3540,0.0,0.0,8.0,17.3
2.5,6.0,6.0,114.47782793000229,-1.57,0.0,3600,3600,3600,3600,0.0,0.0,8.0,17.3
2.6,6.0,6.0,115.27782793000229,-1.57,0.0,3660,3660,3660,3660,0.0,0.0,8.0,17.3
2.7,6.0,6.0,116.07782793000229,-1.57,0.0,3720,3720,3720,3720,0.0,0.0,8.0,17.3
2.8,6.0,6.0,116.87367710706883,-1.57,0.0,3780,3780,3780,3780,0.0,0.0,7.96,17.3
2.9,6.0,6.0,117.62708099469182,-1.57,0.0,3840,3840,3840,3840,0.0,0.0,7.53,17.3
3.0,6.0,6.0,118.34030334164159,-1.57,0.0,3900,3900,3900,3900,0.0,0.0,7.13,17.3
3.1,6.0,6.0,119.0154871634207,-1.57,0.0,3960,3960,3960,3960,0.0,0.0,6.75,17.3
3.2,6.0,6.0,119.6546611813716,-1.57,0.0,4020,4020,4020,4020,0.0,0.0,6.39,17.3
3.3,6.0,6.0,120.25974591836511,-1.57,0.0,4080,4080,4080,4080,0.0,0.0,6.05,17.3
3.4,6.0,6.0,120.83255946938564,-1.57,0.0,4140,4140,4140,4140,0.0,0.0,5.73,17.3
3.5,6.0,6.0,121.37482296435174,-1.57,0.0,4200,4200,4200,4200,0.0,0.0,5.42,17.3
3.6,6.0,6.0,121.88816573958631,-1.57,0.0,4260,4260,4260,4260,0.0,0.0,5.13,17.3
3.7,6.0,6.0,122.37413023347504,-1.57,0.0,4200,4200,4200,4200,0.0,0.0,4.86,17.3
3.8,6.0,6.0,122.83417662102305,-1.57,0.0,4140,4140,4140,4140,0.0,0.0,4.6,17.3
3.9,6.0,6.0,123.26968720123516,-1.57,0.0,4080,4080,4080,4080,0.0,0.0,4.36,17.3
4.0,6.0,6.0,123.68197055050261,-1.57,0.0,4020,4020,4020,4020,0.0,0.0,4.12,17.3
4.1,6.0,6.0,124.07226545447581,-1.57,0.0,3960,3960,3960,3960,0.0,0.0,3.9,17.3
4.2,6.0,6.0,124.4417446302371,-1.57,0.0,3900,3900,3900,3900,0.0,0.0,3.69,17.3
4.3,6.0,6.0,124.79151824995779,-1.57,0.0,3840,3840,3840,3840,0.0,0.0,3.5,17.3
4.4,6.0,6.0,125.1226372766267,-1.57,0.0,3780,3780,3780,3780,0.0,0.0,3.31,17.3
4.5,6.0,6.0,125.43609662187328,-1.57,0.0,3720,3720,3720,3720,0.0,0.0,3.13,17.3
4.6,6.0,6.0,125.73283813537337,-1.57,0.0,3660,3660,3660,3660,0.0,0.0,2.97,17.3
4.7,6.0,6.0,126.01375343482012,-1.57,0.0,3600,3600,3600,3600,0.0,0.0,2.81,17.3
4.8,6.495818671334056,6.1350617169225385,126.41265316003451,-0.44,0.27,3660,3660,3660,3660,4.96,1.35,3.99,17.13
4.9,7.076568606637132,6.293258831915491,126.77964090723175,-0.44,0.27,3720,3720,3720,3720,5.81,1.58,3.67,17.13
5.0,7.756798107569524,6.478554323208902,127.11726963465321,-0.44,0.27,3780,3780,3780,3780,6.8,1.85,3.38,17.13
5.1,8.553547527261248,6.695590007426002,127.42788806388096,-0.44,0.27,3720,3720,3720,3720,7.97,2.17,3.11,17.13
5.2,9.486776146291977,6.949802821212151,127.71365701877048,-0.44,0.27,3660,3660,3660,3660,9.33,2.54,2.86,17.13
5.3,10.579862170395984,7.247561021326504,127.97656445726884,-0.44,0.27,3707,3707,3707,3707,10.93,2.98,2.63,17.13
5.4,11.860188375278653,7.596323715129668,128.21843930068732,-0.44,0.27,3647,3647,3647,3647,12.8,3.49,2.42,17.13
5.5,13.359828069467337,8.004827717847732,128.4759144447423,-0.44,0.27,3707,3707,3707,3707,15.0,4.09,2.57,17.13
5.6,15.012556973914188,8.45503344092286,128.7539876003217,-0.44,0.27,3767,3767,3767,3767,16.53,4.5,2.78,17.13
5.7,16.66528587836104,8.905239163997987,129.05430660834742,-0.44,0.27,3827,3827,3827,3827,16.53,4.5,3.0,17.13
5.8,18.31801478280789,9.355444887073114,129.3786511370152,-0.44,0.27,3887,3887,3887,3887,16.53,4.5,3.24,17.13
5.9,19.97074368725474,9.805650610148241,129.7289432279764,-0.44,0.27,3947,3947,3947,3947,16.53,4.5,3.5,17.13
6.0,21.62347259170159,10.255856333223369,130.10725868621452,-0.45,0.27,4007,4007,4007,4007,16.53,4.5,3.78,17.13
6.1,23.27620149614844,10.706062056298496,130.51583938111168,-0.45,0.27,4067,4067,4067,4067,16.53,4.5,4.09,17.13
6.2,24.928930400595288,11.156267779373623,130.9571065316006,-0.45,0.27,4127,4127,4127,4127,16.53,4.5,4.41,17.13
6.3,26.581659305042137,11.60647350244875,131.43367505412866,-0.45,0.27,4187,4187,4187,4187,16.53,4.5,4.77,17.13
6.4,28.234388209488987,12.056679225523878,131.94836905845895,-0.45,0.27,4247,4247,4247,4247,16.53,4.5,5.15,17.13
6.5,29.887117113935837,12.506884948599005,132.50423858313567,-0.45,0.27,4307,4307,4307,4307,16.53,4.5,5.56,17.13
6.6,31.539846018382686,12.957090671674132,133.10457766978652,-0.45,0.27,4367,4367,4367,4367,16.53,4.5,6.0,17.13
6.7,33.192574922829536,13.40729639474926,133.75294388336945,-0.45,0.27,4427,4427,4427,4427,16.53,4.5,6.48,17.13
6.8,34.84530382727639,13.857502117824387,134.453179394039,-0.45,0.27,4487,4487,4487,4487,16.53,4.5,7.0,17.13
6.9,36.49803273172324,14.307707840899514,135.20943374556214,-0.45,0.27,4547,4547,4547,4547,16.53,4.5,7.56,17.13
7.0,38.150761636170095,14.757913563974641,136.00943374556215,-0.45,0.27,4607,4607,4607,4607,16.53,4.5,8.0,17.13
7.1,39.80349054061695,15.208119287049769,136.80943374556216,-0.45,0.27,4667,4667,4667,4667,16.53,4.5,8.0,17.13
7.2,41.4562194450638,15.658325010124896,137.60943374556217,-0.45,0.27,4727,4727,4727,4727,16.53,4.5,8.0,17.13
7.3,43.108948349510655,16.108530733200023,138.40943374556218,-0.45,0.27,4787,4787,4787,4787,16.53,4.5,8.0,17.13
7.4,44.76167725395751,16.558736456275152,139.2094337455622,-0.45,0.27,4847,4847,4847,4847,16.53,4.5,8.0,17.13
7.5,46.41440615840436,17.00894217935028,140.0094337455622,-0.45,0.27,4907,4907,4907,4907,16.53,4.5,8.0,17.13
7.6,48.067135062851214,17.45914790242541,140.80943374556222,-0.46,0.27,4967,4967,4967,4967,16.53,4.5,8.0,17.13
7.7,49.71986396729807,17.90935362550054,141.60943374556223,-0.46,0.27,5000,5000,5000,5000,16.53,4.5,8.0,17.13
7.8,51.37259287174492,18.35955934857567,142.40943374556224,-0.46,0.27,5000,5000,5000,5000,16.53,4.5,8.0,17.13
7.9,53.025321776191774,18.809765071650798,143.20943374556225,-0.46,0.27,5000,5000,5000,5000,16.53,4.5,8.0,17.13
8.0,54.67805068063863,19.259970794725927,144.00943374556226,-0.46,0.27,5000,5000,5000,5000,16.53,4.5,8.0,17.13
8.1,56.33077958508548,19.710176517801056,144.80943374556227,-0.46,0.27,5000,5000,5000,5000,16.53,4.5,8.0,17.13
8.2,57.98350848953233,20.160382240876185,145.60943374556228,-0.46,0.27,5000,5000,5000,5000,16.53,4.5,8.0,17.13
8.3,59.63623739397919,20.610587963951314,146.4094337455623,-0.46,0.27,5000,5000,5000,5000,16.53,4.5,8.0,17.13
8.4,61.28896629842604,21.060793687026443,147.2094337455623,-0.46,0.27,5000,5000,5000,5000,16.53,4.5,8.0,17.13
8.5,62.94169520287289,21.510999410101572,148.00943374556232,-0.46,0.27,5000,5000,5000,5000,16.53,4.5,8.0,17.13
8.6,64.59442410731974,21.9612051331767,148.80943374556233,-0.46,0.27,5000,5000,5000,5000,16.53,4.5,8.0,17.13
8.7,66.24715301176658,22.41141085625183,149.60943374556234,-0.46,0.27,5000,5000,5000,5000,16.53,4.5,8.0,17.13
