Time(s),X,Y,Z,Pitch,Yaw,FL,FR,RL,RR,Vx,Vy,Vz
0.1,1.0606601717798214,1.0606601717798214,49.956146528,-0.0,0.79,1860,1860,1860,1860,10.61,10.61,-0.44
0.2,2.121320343559643,2.121320343559643,49.871995808,-0.0,0.79,1920,1920,1920,1920,10.61,10.61,-0.84
0.3,3.1819805153394642,3.1819805153394642,49.75121696,-0.0,0.79,1980,1980,1980,1980,10.61,10.61,-1.21
0.4,4.242640687119286,4.242640687119286,49.597592,-0.0,0.79,2040,2040,2040,2040,10.61,10.61,-1.54
0.5,5.303300858899107,5.303300858899107,49.415015839999995,-0.0,0.79,2100,2100,2100,2100,10.61,10.61,-1.83
0.6,6.363961030678928,6.363961030678928,49.207496287999994,-0.0,0.79,2160,2160,2160,2160,10.61,10.61,-2.08
0.7,7.424621202458749,7.424621202458749,48.97915404799999,-0.01,0.79,2220,2220,2220,2220,10.61,10.61,-2.28
0.8,8.48528137423857,8.48528137423857,48.73422271999999,-0.01,0.79,2280,2280,2280,2280,10.61,10.61,-2.45
0.9,9.54594154601839,9.54594154601839,48.47704879999999,-0.01,0.79,2340,2340,2340,2340,10.61,10.61,-2.57
1.0,10.606601717798211,10.606601717798211,48.21209167999999,-0.01,0.79,2400,2400,2400,2400,10.61,10.61,-2.65
1.1,11.667261889578032,11.667261889578032,47.943923647999995,-0.02,0.79,2460,2460,2460,2460,10.61,10.61,-2.68
1.2,12.727922061357853,12.727922061357853,47.67722988799999,-0.02,0.79,2520,2520,2520,2520,10.61,10.61,-2.67
1.3,13.788582233137674,13.788582233137674,47.41680847999999,-0.02,0.79,2580,2580,2580,2580,10.61,10.61,-2.6
1.4,14.849242404917495,14.849242404917495,47.167570399999995,-0.02,0.79,2640,2640,2640,2640,10.61,10.61,-2.49
1.5,15.909902576697316,15.909902576697316,46.934539519999994,-0.03,0.79,2700,2700,2700,2700,10.61,10.61,-2.33
1.6,16.97056274847714,16.97056274847714,46.722852608,-0.03,0.79,2760,2760,2760,2760,10.61,10.61,-2.12
1.7,18.031222920256962,18.031222920256962,46.537759328,-0.03,0.79,2820,2820,2820,2820,10.61,10.61,-1.85
1.8,19.091883092036785,19.091883092036785,46.38462224,-0.03,0.79,2880,2880,2880,2880,10.61,10.61,-1.53
1.9,20.152543263816607,20.152543263816607,46.2689168,-0.04,0.79,2940,2940,2940,2940,10.61,10.61,-1.16
2.0,21.21320343559643,21.21320343559643,46.19623136,-0.04,0.79,3000,3000,3000,3000,10.61,10.61,-0.73
2.1,22.273863607376253,22.273863607376253,46.172267168,-0.04,0.79,3060,3060,3060,3060,10.61,10.61,-0.24
2.2,23.334523779156076,23.334523779156076,46.202838367999995,-0.04,0.79,3120,3120,3120,3120,10.61,10.61,0.31
2.3,24.3951839509359,24.3951839509359,46.29387199999999,-0.04,0.79,3180,3180,3180,3180,10.61,10.61,0.91
